+-------------------------+--------------------------------------------------------+-------------------------------------------+
|          Group          |                         Title                          |                  Company                  |
|        Leadership       |                    Co-founder & CEO                    |              SilverLogic LLC              |
|        Leadership       |                     Owner/Teacher                      |          Dyna'Dance Dance School          |
|        Leadership       |             Software Wizard and Co-Founder             |                 With Pulp                 |
|        Leadership       |                     President/CEO                      |             Surgical City Inc.            |
|        Education        |         Academic Support Services Coordinator          |        Florida Atlantic University        |
|        Education        |                       Professor                        |        Florida Atlantic University        |
|        Education        |                  Associate Professor                   |        Florida Atlantic University        |
|        Education        |                   Adjunct Instructor                   |    New England Institute of Technology    |
|        Education        |              Graduate Teaching Assistant               |        Florida Atlantic University        |
|        Education        |                        Faculty                         |        Florida Atlantic University        |
|        Education        |                     Owner/Teacher                      |          Dyna'Dance Dance School          |
|        Education        |                        Student                         |        Florida Atlantic University        |
|          Sales          |                    Sales Consultant                    |        Charles Rutenberg Realty LLC       |
|          Sales          |          Customer Care/Renewals & ISR Manager          |             DataCore Software             |
|          Sales          | Product Development/Customer Care/Renewals/ISR Manager |       DataCore Software Corporation       |
+-------------------------+--------------------------------------------------------+-------------------------------------------+
